evm.model.CM018427.2.26	K16479
evm.model.CM018427.2.260	K00746
evm.model.CM018427.2.262	K17609
evm.model.CM018427.2.263	K04545
evm.model.CM018427.2.264	K09783
evm.model.CM018427.2.265	K08397
evm.model.CM018427.2.266	K15378
evm.model.CM018427.2.267	K01796
evm.model.CM018427.2.268	K12384
evm.model.CM018427.2.269	K14308
evm.model.CM018427.2.27	K06114
evm.model.CM018427.2.270	K13807
evm.model.CM018427.2.271	
evm.model.CM018427.2.272	K15184
evm.model.CM018427.2.273	K06560
evm.model.CM018427.2.274	K10446
evm.model.CM018427.2.275	K14856
evm.model.CM018427.2.276	K02374
evm.model.CM018427.2.277	K04440
evm.model.CM018427.2.278	K20642
evm.model.CM018427.2.279	
evm.model.CM018427.2.28	K22868
